experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR9667011,qDRIP,SRR9667013,TRUE,hg38,TRUE,DNA,S9.6,SRX6427717_DMSO_qDRIP-seq_1,151,GSM3936511,Cimprich,HS,HeLa,WT,DMSO,S9.6,1,Input,SON,SRX6427717,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427717,-0.0705836432448594,1,0.488138076102935,0.456524896138622,0.248892231391324,-0.234330766366327,2.76648438322037,unbiased,-5000,5000,50,98.6234488541789,1780.92152191765,0.0604704337296984,3.03955707530665,unbiased,2.699837725867246,     2720.000, 27075777.000,        2.047,    -1831.202,       81.000,  4120286.000,       -0.306,        3.572,        3.000,   108625.000,        0.184,       -0.710,        9.000,    99042.000,        1.903,       -7.036,      284.000,  7164679.000,        0.706,      -31.942,     2630.000, 33091429.000,        1.709,    -1317.262,    14462.000,637461524.000,       -0.099,       46.997,       11.000,   265008.000,        0.772,       -2.755,     8136.000,382993585.000,       -0.194,       90.853,        6.000,   364777.000,       -0.563,        1.517,        0.000,    95628.000,       -1.733,        2.324,       81.000,  2211315.000,        0.592,       -8.065,     2336.000, 99987536.000,       -0.057,        3.641,     3332.000, 37704655.000,        1.862,    -1929.758,    32208.000,661068753.000,        1.003,    -8680.163,     2451.000,785315658.000,       -2.961,    13846.707,     1497.000, 36726290.000,        0.746,     -175.787,      161.000,  2630513.000,        1.332,      -54.651,        0.000,      357.000,       -0.012,        0.009,        6.000,   123260.000,        1.002,       -2.483,      605.000,  9138796.000,        1.446,     -227.989,      177.000,  5528642.000,        0.398,       -8.302,     3303.000,264169073.000,       -0.959,      995.527,      997.000, 35372702.000,        0.214,      -12.982,       10.000,   317799.000,        0.373,       -1.387,       14.000,   715929.000,       -0.314,        1.386,       81.000, 76209465.000,       -4.515,     1541.875,        2.000,   233554.000,       -1.505,        2.550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2598.0,17811.0,75629.0,25897.0,   96.7,   59.3,78227.0,43708.0,61288852,55287070,90.2,150,150,52149750,94.32540013424477,3451794,6.243401938283219
SRR9667012,qDRIP,SRR9667013,TRUE,hg38,TRUE,DNA,S9.6,SRX6427718_DMSO_qDRIP-seq_2,151,GSM3936512,Cimprich,HS,HeLa,WT,DMSO,S9.6,2,Input,SON,SRX6427718,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427718,-0.0664251602529188,1,0.467848593682763,0.449285771330707,0.24821975113163,-0.161562411262307,2.74941607745496,unbiased,-5000,5000,0,14.4430576075065,1711.57917763321,-0.00102080458524332,3.26941655450155,unbiased,2.699837725867246,     2775.000, 27077953.000,        2.051,    -1873.773,       86.000,  4121948.000,       -0.245,        2.811,        2.000,   108625.000,       -0.426,        0.699,        6.000,    99042.000,        1.293,       -3.252,      265.000,  7165832.000,        0.581,      -21.525,     2631.000, 33098320.000,        1.685,    -1285.826,    14977.000,637770848.000,       -0.075,       28.345,        5.000,   265346.000,       -0.392,        1.021,     8121.000,383105737.000,       -0.222,      118.535,        4.000,   364777.000,       -1.173,        2.914,        6.000,    96007.000,        1.338,       -3.377,       68.000,  2224435.000,        0.306,       -3.003,     2365.000,100023739.000,       -0.065,        4.325,     3259.000, 37717728.000,        1.805,    -1791.528,    32647.000,661130505.000,        0.998,    -8703.535,     2639.000,785814137.000,       -2.880,    13770.452,     1338.000, 36735098.000,        0.559,      -93.133,      161.000,  2630539.000,        1.307,      -52.965,        0.000,      357.000,       -0.013,        0.009,        3.000,   123360.000,       -0.024,        0.453,      525.000,  9151243.000,        1.214,     -147.178,      264.000,  5532072.000,        0.948,      -49.450,     3293.000,264319581.000,       -0.989,     1063.549,     1391.000, 35393222.000,        0.668,     -133.968,        7.000,   318400.000,       -0.170,        0.753,       13.000,   716241.000,       -0.446,        1.846,      109.000, 76354898.000,       -4.115,     1492.418,        3.000,   233554.000,       -0.945,        1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1611.0,25650.0,76982.0,25463.0,   98.0,   49.8,78593.0,51113.0,56935684,51040300,89.6,150,150,48152711,94.34253129389913,2901870,5.685448557316473
SRR9667014,qDRIP,SRR9667017,TRUE,hg38,TRUE,DNA,S9.6,SRX6427720_DRB_qDRIP-seq_1,151,GSM3936514,Cimprich,HS,HeLa,WT,DRB,S9.6,1,Input,SON,SRX6427720,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427720,-0.0546847453426344,1,0.467703797917653,0.450391414972422,0.239192691998527,-0.189339123121729,2.81312854717011,unbiased,-5000,5000,100,232.329319093038,1873.75213205747,0.182628876606487,3.02740681263099,unbiased,2.699837725867246,     2768.000, 27072064.000,        2.023,    -1827.155,       69.000,  4117312.000,       -0.586,        8.550,        2.000,   108625.000,       -0.450,        0.722,        6.000,    99042.000,        1.268,       -3.183,      254.000,  7164050.000,        0.495,      -15.890,     2674.000, 33092766.000,        1.683,    -1305.121,    16740.000,637861362.000,        0.061,      -21.291,        9.000,   264995.000,        0.433,       -1.476,     7813.000,383173719.000,       -0.303,      213.187,        4.000,   364264.000,       -1.196,        3.003,        3.000,    95990.000,        0.313,       -0.834,       45.000,  2232630.000,       -0.320,        2.611,     2175.000,100005808.000,       -0.210,       27.799,     3274.000, 37709146.000,        1.787,    -1769.940,    31528.000,660654536.000,        0.924,    -7247.744,     3109.000,786505017.000,       -2.670,    13106.918,     1488.000, 36720747.000,        0.688,     -150.745,      148.000,  2629793.000,        1.161,      -40.194,        0.000,      357.000,       -0.013,        0.009,        4.000,   123360.000,        0.366,       -0.978,      683.000,  9168735.000,        1.566,     -294.137,      285.000,  5535233.000,        1.033,      -61.576,     3306.000,264282446.000,       -1.008,     1114.145,     1804.000, 35437530.000,        1.017,     -368.360,        5.000,   318575.000,       -0.681,        1.662,        8.000,   715579.000,       -1.170,        4.957,      115.000, 76648944.000,       -4.068,     1513.763,        1.000,   233514.000,       -2.555,        3.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4660.0,27212.0,78343.0,27351.0,   94.4,   50.1,83003.0,54563.0,62132890,55596310,89.5,149,149,52242912,93.96830832837647,3824260,6.878621980487553
SRR9667015,qDRIP,SRR9667017,TRUE,hg38,TRUE,DNA,S9.6,SRX6427721_DRB_qDRIP-seq_2,151,GSM3936515,Cimprich,HS,HeLa,WT,DRB,S9.6,2,Input,SON,SRX6427721,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX6427721,-0.0307699962182071,1,0.5018968513203,0.460495101023167,0.202040720857058,-0.754272715922649,3.54228308031334,unbiased,-5000,5000,100,253.770253302828,1825.82395398825,0.162637900029779,2.82063854968898,unbiased,2.699837725867246,     1708.000, 26969623.000,        2.005,    -1113.054,       47.000,  4089674.000,       -0.457,        4.281,        1.000,   108059.000,       -0.769,        0.710,        7.000,    99042.000,        2.164,       -6.754,      154.000,  7078903.000,        0.464,       -9.391,     1433.000, 32726098.000,        1.473,     -559.181,    11715.000,636557635.000,        0.223,     -172.734,        6.000,   265099.000,        0.521,       -1.411,     4626.000,381899100.000,       -0.381,      202.611,        1.000,   364094.000,       -2.522,        3.835,        2.000,    92413.000,        0.456,       -0.849,       40.000,  2228944.000,        0.186,       -1.479,     1189.000, 99838636.000,       -0.405,       56.300,     1766.000, 37351652.000,        1.584,     -780.519,    18603.000,660011873.000,        0.838,    -3550.457,     2259.000,784673651.000,       -2.454,     7564.101,      800.000, 36255734.000,        0.484,      -43.992,      101.000,  2610184.000,        1.295,      -33.559,        0.000,      357.000,       -0.008,        0.006,        2.000,   122395.000,        0.051,       -0.554,      368.000,  9124039.000,        1.355,     -125.311,      288.000,  5519531.000,        1.726,     -147.418,     2003.000,263655745.000,       -1.054,      747.457,     1748.000, 35412532.000,        1.646,     -823.770,        5.000,   316515.000,        0.002,       -0.583,        6.000,   715931.000,       -0.912,        2.698,      103.000, 76679289.000,       -3.554,      868.615,        5.000,   233322.000,        0.442,       -1.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4308.0,28384.0,49001.0,20858.0,   91.9,   42.4,53309.0,49242.0,65702964,58675604,89.3,149,149,54229915,92.42327526786089,4064647,6.927320253916773
SRR9667016,qDRIP,SRR9667017,TRUE,hg38,TRUE,DNA,S9.6,SRX6427722_DRB_qDRIP-seq_andRH,151,GSM3936516,Cimprich,HS,HeLa,WT,DRB,RNH,0,Input,SON,SRX6427722,DRIP,qDRIP_HeLa_Cimprich_RNH_SRX6427722,-0.00235582716951911,0.670884182747561,0.386525348091317,0.368509099038059,0.131007512810724,-0.612572257297794,3.64663342124235,unbiased,-5000,5000,50,91.7999553370992,1490.79057326891,-0.0218416674459431,4.27462662498794,unbiased,2.699837725867246,      654.000, 27203818.000,       -0.131,        4.640,       50.000,  4150177.000,       -1.128,       22.466,        2.000,   109386.000,       -0.526,        0.797,        2.000,    97628.000,       -0.362,        0.642,      159.000,  7246750.000,       -0.263,        4.587,      903.000, 33429099.000,        0.037,       -1.506,    36016.000,640105024.000,        1.096,   -11327.920,        1.000,   267948.000,       -2.818,        4.967,     3485.000,384809289.000,       -1.539,     3227.452,        2.000,   364625.000,       -2.263,        5.561,        1.000,    99129.000,       -1.384,        1.326,       25.000,  2295405.000,       -1.273,       15.384,      476.000,100363400.000,       -2.473,     1383.074,      886.000, 38027305.000,       -0.176,        9.166,    15416.000,662698817.000,       -0.178,      157.850,    10133.000,789519276.000,       -1.036,     4248.629,     1050.000, 37101529.000,        0.105,       -4.597,       69.000,  2655823.000,       -0.019,        0.717,        1.000,      357.000,        6.734,       -4.672,        6.000,   124374.000,        0.874,       -2.172,      303.000,  9289250.000,        0.309,       -8.708,     2315.000,  5562131.000,        3.983,    -4256.123,     4053.000,265417597.000,       -0.786,      787.228,     6126.000, 35586844.000,        2.709,    -6488.858,        4.000,   319495.000,       -1.072,        2.546,        5.000,   716353.000,       -1.915,        8.675,      139.000, 76813168.000,       -3.863,     1536.031,        9.000,   234352.000,        0.545,       -1.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1592.0,117636.0, 82299.0, 77250.0,    98.1,    39.6, 83891.0,194886.0,47618792,44224700,92.9,149,149,40109345,90.69444224607516,4126346,9.330410381528873
SRR10916579,qDRIP,SRR10916580,TRUE,hg38,TRUE,DNA,S9.6,SRX7583977_untreated_qDRIP-seq,101,GSM4276883,Cimprich,HS,HeLa,WT,NT,S9.6,0,Input,SON,SRX7583977,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX7583977,-0.035340590889564,1,0.447282054693137,0.430669842702833,0.22004557273136,-0.112140317321054,2.78984292875095,unbiased,-5000,5000,350,476.314769125381,2143.5173952531,0.0363596938380124,2.34530030258431,unbiased,2.699837725867246,      109.000, 26835654.000,        2.380,      -96.427,        0.000,  4066681.000,       -2.063,        3.176,        0.000,   108000.000,       -0.117,        0.084,        0.000,    97618.000,       -0.106,        0.076,       26.000,  7047900.000,        2.241,      -22.296,      179.000, 32422407.000,        2.823,     -204.905,      344.000,633569671.000,       -0.523,       34.133,        0.000,   262282.000,       -0.269,        0.205,      130.000,379801790.000,       -1.189,       68.442,        0.000,   362795.000,       -0.360,        0.283,        0.000,    91810.000,       -0.100,        0.072,        3.000,  2112697.000,        0.864,       -1.473,       29.000, 99422161.000,       -1.420,       22.706,      159.000, 37122122.000,        2.456,     -147.536,      767.000,656125205.000,        0.583,      -76.091,      140.000,781608540.000,       -2.123,      323.639,      115.000, 35970580.000,        2.034,      -79.849,        9.000,  2601552.000,        2.148,       -8.246,        0.000,      357.000,        0.000,        0.000,        0.000,   121638.000,       -0.131,        0.095,       46.000,  9025020.000,        2.707,      -50.350,        3.000,  5485372.000,       -0.513,        0.967,       41.000,262330967.000,       -2.320,      106.283,      230.000, 35119520.000,        3.069,     -299.013,        0.000,   314391.000,       -0.317,        0.245,        1.000,   714206.000,        0.843,       -0.850,       80.000, 76118082.000,        0.429,       -5.173,        0.000,   232938.000,       -0.241,        0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   32.0,35364.0, 2412.0, 1302.0,   98.7,    3.6, 2444.0,36666.0,49985880,48969302,98,100,100,44359802,90.58695996932936,2515455,5.136799785302229
SRR10916581,qDRIP,SRR10916580,TRUE,hg38,TRUE,DNA,S9.6,SRX7583979_untreated_qDRIP-seq_and_standard_RH,101,GSM4276885,Cimprich,HS,HeLa,WT,NT,RNH,0,Input,SON,SRX7583979,DRIP,qDRIP_HeLa_Cimprich_RNH_SRX7583979,0.0134349148905513,0.774623432586484,0.338233957489152,0.346558333725617,0.177652144639059,0.385029072091186,2.7563777579187,unbiased,-5000,5000,100,323.298218346141,1874.94583590398,0.233370451487625,3.17235494681396,unbiased,2.699837725867246,      529.000, 26941497.000,        0.281,      -11.889,       11.000,  4078285.000,       -2.583,       37.179,        0.000,   108059.000,       -1.457,        1.746,        0.000,    99042.000,       -1.379,        1.600,      123.000,  7073456.000,        0.106,       -1.519,      799.000, 32638762.000,        0.599,      -64.265,    24851.000,636390655.000,        1.273,   -10428.764,        2.000,   264328.000,       -1.095,        1.604,     1772.000,381310267.000,       -1.798,     2397.126,        1.000,   363581.000,       -2.554,        3.947,        1.000,    92371.000,       -0.578,        0.579,       12.000,  2177572.000,       -1.552,       12.052,      320.000, 99751959.000,       -2.332,      794.986,      761.000, 37294756.000,        0.337,      -22.154,    10829.000,658432314.000,        0.026,       -3.956,     3898.000,785174335.000,       -1.702,     5151.429,      510.000, 36172637.000,       -0.197,        7.069,       41.000,  2608195.000,       -0.040,        0.753,        0.000,      357.000,       -0.008,        0.006,        2.000,   122373.000,        0.017,       -0.531,      114.000,  9136343.000,       -0.373,        6.058,     1026.000,  5521436.000,        3.524,    -1582.232,     1423.000,263491987.000,       -1.581,     1364.809,     3003.000, 35404787.000,        2.392,    -2613.742,        2.000,   316654.000,       -1.355,        2.161,        0.000,   714913.000,       -3.650,       11.552,      120.000, 76872970.000,       -3.372,      857.600,        9.000,   232979.000,        1.258,       -4.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1279.0,100531.0, 50163.0, 45177.0,    97.5,    31.0, 51442.0,145708.0,54350266,52960634,97.4,100,100,48104385,90.83045531516862,5625507,10.622053731456463
SRR10916582,qDRIP,SRR10916580,TRUE,hg38,TRUE,DNA,S9.6,SRX7583980_untreated_qDRIP-seq_and_high_RH,101,GSM4276886,Cimprich,HS,HeLa,WT,NT,RNH,0,Input,SON,SRX7583980,DRIP,qDRIP_HeLa_Cimprich_RNH_SRX7583980,0.0157487595923615,0.454751432373779,0.209466313839359,0.209285713464454,0.0852750172284633,0.651658770081711,3.24238201085714,unbiased,-5000,5000,300,518.80709571329,2008.5021489381,-0.012885828783902,3.35873070962907,unbiased,2.699837725867246,       51.000, 26918996.000,       -0.651,        8.046,        2.000,  4073322.000,       -2.599,        7.664,        0.000,   108000.000,       -0.402,        0.321,        0.000,    97618.000,       -0.368,        0.290,       17.000,  7067251.000,       -0.307,        1.492,       99.000, 32541080.000,        0.032,       -0.855,     4399.000,635624605.000,        1.218,    -1698.359,        0.000,   264628.000,       -0.838,        0.787,      498.000,380878823.000,       -1.186,      253.534,        1.000,   363517.000,       -0.113,        0.348,        0.000,    92250.000,       -0.350,        0.274,        4.000,  2176874.000,       -0.695,        1.486,       33.000, 99677763.000,       -3.168,      197.516,      104.000, 37207492.000,       -0.090,        1.273,     1206.000,658052599.000,       -0.699,      208.712,      902.000,784250755.000,       -1.371,      717.233,       95.000, 36074682.000,       -0.176,        2.086,        8.000,  2604606.000,        0.046,       -0.670,        0.000,      357.000,       -0.002,        0.001,        0.000,   122266.000,       -0.448,        0.364,       39.000,  9104439.000,        0.526,       -4.011,      298.000,  5509804.000,        4.184,     -590.707,      168.000,263139432.000,       -2.220,      381.470,     1198.000, 35348512.000,        3.510,    -1894.247,        0.000,   316070.000,       -0.956,        0.940,        0.000,   715100.000,       -1.645,        2.128,      102.000, 76684661.000,       -1.161,       47.573,        2.000,   233021.000,        1.528,       -1.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  741.0,63378.0, 9227.0, 8453.0,   92.6,   11.8, 9968.0,71831.0,60193008,58656058,97.4,100,100,52596880,89.66998771039131,3985872,6.795328796217434
SRR10916583,qDRIP,SRR10916585,TRUE,hg38,TRUE,DNA,S9.6,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1,76,GSM4276887,Cimprich,HS,HeLa,WT,siGL3,S9.6,1,Input,SON,SRX7583981,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX7583981,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,0,4.6194979992725,2153.52347028731,-0.137372172168781,2.95442056507706,unbiased,2.699837725867246,     175.000, 2389543.000,       1.582,     -80.522,NA,NA,NA,NA,       0.000,    2863.000,      -0.098,       0.070,       4.000,   50209.000,       1.704,      -3.318,      27.000, 1067154.000,       0.049,      -0.785,     351.000,13567246.000,       0.081,      -1.960,      70.000, 5323385.000,      -0.895,      19.621,NA,NA,NA,NA,NA,NA,NA,NA,      11.000,  757986.000,      -0.753,       3.157,NA,NA,NA,NA,NA,NA,NA,NA,      20.000, 1540843.000,      -0.914,       6.782,     518.000,15375943.000,       0.462,     -30.133,    1254.000,38836708.000,       0.401,     -67.247,      97.000,20162459.000,      -2.346,     267.510,     313.000,19140603.000,      -0.581,      35.971,     119.000, 1504344.000,       1.693,     -61.427,NA,NA,NA,NA,NA,NA,NA,NA,      41.000, 2951284.000,      -0.816,      10.122,      29.000,  300321.000,       1.981,     -20.563,     221.000,12093470.000,      -0.421,      13.588,     124.000, 2202238.000,       1.203,     -36.766,NA,NA,NA,NA,       1.000,   45020.000,      -0.139,       0.359,       0.000,  620794.000,      -4.023,      15.219,       0.000,   18896.000,      -0.548,       0.462,       0.000,   23709.000,      -0.660,       0.580,       0.000,      52.000,      -0.002,       0.001,       0.000,    3400.000,      -0.115,       0.083, 216.0,6099.0,3377.0,1563.0,  94.0,  20.4,3593.0,7662.0,89140746,85889076,96.4,75,75,6476128,7.540106730220267,1304953,1.5193468841136446
SRR10916584,qDRIP,SRR10916586,TRUE,hg38,TRUE,DNA,S9.6,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2,76,GSM4276888,Cimprich,HS,HeLa,WT,siGL3,S9.6,2,Input,SON,SRX7583982,DRIP,qDRIP_HeLa_Cimprich_S9.6_SRX7583982,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,-200,-373.636992990153,2511.61191372581,0.195537871300855,2.56371831111757,unbiased,2.699837725867246,     176.000, 2389423.000,       1.613,     -83.584,NA,NA,NA,NA,       0.000,    2863.000,      -0.096,       0.069,       4.000,   50209.000,       1.726,      -3.366,      34.000, 1067154.000,       0.404,      -2.719,     371.000,13564945.000,       0.184,      -5.120,      64.000, 5329790.000,      -1.004,      22.791,NA,NA,NA,NA,NA,NA,NA,NA,      17.000,  756764.000,      -0.100,       0.804,NA,NA,NA,NA,NA,NA,NA,NA,      35.000, 1545936.000,      -0.089,       0.923,     504.000,15373407.000,       0.445,     -27.528,    1220.000,38833547.000,       0.384,     -60.371,      73.000,20172208.000,      -2.734,     306.006,     321.000,19137300.000,      -0.522,      29.808,     121.000, 1504265.000,       1.740,     -65.217,NA,NA,NA,NA,NA,NA,NA,NA,      46.000, 2952723.000,      -0.628,       7.028,      32.000,  300380.000,       2.145,     -25.317,     197.000,12095805.000,      -0.564,      21.173,     108.000, 2200070.000,       1.027,     -24.965,NA,NA,NA,NA,       0.000,   45020.000,      -1.060,       1.084,       0.000,  620794.000,      -4.002,      14.983,       0.000,   19044.000,      -0.545,       0.459,       0.000,   23709.000,      -0.652,       0.571,       0.000,      52.000,      -0.002,       0.001,       0.000,    3400.000,      -0.114,       0.082, 254.0,4908.0,3326.0,1463.0,  92.9,  23.0,3580.0,6371.0,83783784,80397258,96,75,75,6148505,7.647655097889035,1064356,1.3238710205763484
SRR9899797,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1,50,GSM4006728,Chedin,HS,U87,WT,siCTR,S9.6,1,None,RES,SRX6651643,DRIP,DRIP_U87_Chedin_S9.6_SRX6651643,-0.0762582983904559,1,0.6769195179999,0.571005972233055,0.25456635413234,-1.05460118579796,3.40647651795025,unbiased,-5000,5000,50,47.7739398070673,1789.11878367775,0.0719549480132831,2.89003066288517,unbiased,2.699837725867246,      736.000, 26840024.000,        2.348,     -621.146,        2.000,  4065989.000,       -3.453,       16.340,        1.000,   108000.000,        0.782,       -0.819,        3.000,    97618.000,        2.512,       -4.110,      110.000,  7045453.000,        1.535,      -48.029,      882.000, 32433253.000,        2.336,     -740.313,     1417.000,633517454.000,       -1.268,      897.264,        0.000,   262954.000,       -1.273,        1.416,     2009.000,379872883.000,       -0.026,        1.636,        1.000,   362795.000,       -0.966,        0.871,        0.000,    91923.000,       -0.580,        0.495,       21.000,  2119195.000,        0.880,       -4.974,      232.000, 99422915.000,       -1.207,      115.358,     1227.000, 37163518.000,        2.616,    -1234.981,     6219.000,656347638.000,        0.815,    -1129.149,     1108.000,781486906.000,       -1.926,     1984.347,     1317.000, 35975760.000,        2.765,    -1444.327,      117.000,  2601679.000,        3.062,     -148.804,        0.000,      357.000,       -0.003,        0.002,        1.000,   121738.000,        0.609,       -0.732,      396.000,  9025739.000,        3.026,     -490.669,       26.000,  5484661.000,       -0.184,        1.220,      611.000,262282484.000,       -1.209,      313.862,      182.000, 35098429.000,       -0.055,        1.141,        2.000,   314624.000,        0.239,       -0.683,        1.000,   714515.000,       -1.944,        2.270,       19.000, 75944113.000,       -4.428,      338.710,        0.000,   204565.000,       -1.072,        1.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   60.0,14583.0, 2501.0, 2066.0,   97.7,   12.4, 2561.0,16649.0,25130981,23946362,95.3,0.476736,50,12791079,53.415541784593415,1985336,8.290762496616397
